(93.53207014961993, 629.4576894775572)
(98.43763796909502, 720.2106941378466)
(105.79598969830761, 791.3414275202356)
(125.4182609762081, 857.5665930831495)
(159.75723571253377, 923.7917586460634)
(196.54899435859704, 975.300220750552)
(228.43518518518522, 1021.9031150355654)
(275.0380794701987, 1078.3171449595293)
(444.28016924208976, 1112.6561196958548)
(638.0500981113565, 1075.8643610497916)
(689.558560215845, 1012.0919793966152)
(728.803102771646, 963.0363012018643)
(763.1420775079715, 901.7167034584254)
(792.5754844248223, 830.5859700760365)
(809.744971792985, 759.4552366936474)
(819.5561074319354, 685.8717194015209)
(822.0088913416729, 612.2882021093943)
(179.37950699043415, 582.8547951925437)
(213.71848172675993, 541.1574687270054)
(245.6046725533481, 506.8184939906796)
(324.09375766494975, 504.3657100809421)
(412.3939784155017, 506.8184939906796)
(500.69419916605364, 506.8184939906796)
(591.4472038263428, 509.2712779004172)
(669.9362889379446, 511.7240618101547)
(699.3696958547952, 546.0630365464805)
(733.708670591121, 587.7603630120188)
(451.63852097130246, 619.646553838607)
(454.09130488103995, 663.7966642138829)
(454.09130488103995, 710.3995584988965)
(454.09130488103995, 786.4358597007605)
(363.3383002207506, 776.6247240618103)
(397.6772749570763, 830.5859700760365)
(456.54408879077766, 862.4721609026246)
(512.9581187147413, 833.038753985774)
(549.7498773608046, 774.1719401520728)
(221.07683345597263, 678.5133676723083)
(262.774159921511, 636.8160412067699)
(336.35767721363754, 629.4576894775572)
(385.4133554083886, 658.8910963944078)
(341.26324503311264, 707.9467745891588)
(265.2269438312485, 715.3051263183715)
(530.1276060829042, 663.7966642138829)
(574.2777164581802, 629.4576894775572)
(647.8612337503067, 636.8160412067699)
(694.4641280353202, 688.3245033112585)
(640.502882021094, 715.3051263183715)
(564.46658081923, 707.9467745891588)
(309.37705420652446, 879.6416482707875)
(365.7910841304881, 884.5472160902626)
(405.035626686289, 887.0000000000001)
(454.09130488103995, 889.4527839097377)
(495.7886313465784, 889.4527839097377)
(544.8443095413294, 879.6416482707875)
(603.7111233750308, 877.1888643610499)
(552.2026612705421, 963.0363012018643)
(498.2414152563159, 990.0169242089773)
(454.09130488103995, 994.9224920284523)
(400.1300588668138, 985.1113563895021)
(351.07438067206283, 950.7723816531765)
(343.71602894285024, 904.169487368163)
(402.5828427765515, 909.0750551876381)
(446.7329531518275, 909.0750551876381)
(493.33584743684094, 906.6222712779006)
(569.372148638705, 901.7167034584254)
(498.2414152563159, 960.5835172921267)
(451.63852097130246, 965.4890851116018)
(402.5828427765515, 955.6779494726516)
