(83.5638528138528, 613.7316017316016)
(88.75865800865802, 700.3116883116883)
(95.68506493506493, 771.3073593073592)
(109.53787878787875, 845.7662337662337)
(133.780303030303, 909.8354978354978)
(168.41233766233768, 960.0519480519479)
(220.36038961038957, 1015.4632034632034)
(301.74567099567105, 1069.142857142857)
(450.66341991342006, 1108.969696969697)
(592.6547619047619, 1063.948051948052)
(672.3084415584417, 1013.7316017316016)
(732.9145021645022, 949.6623376623376)
(769.2781385281387, 892.5194805194805)
(784.8625541125543, 826.7186147186146)
(793.520562770563, 755.7229437229437)
(798.7153679653682, 682.9956709956709)
(795.2521645021645, 603.3419913419913)
(144.16991341991343, 601.6103896103896)
(180.5335497835498, 556.5887445887445)
(225.5551948051948, 532.3463203463202)
(293.0876623376623, 525.4199134199133)
(367.54653679653677, 537.5411255411254)
(523.3906926406928, 539.2727272727271)
(590.9231601731603, 525.4199134199133)
(665.3820346320347, 525.4199134199133)
(713.8668831168832, 546.1991341991342)
(748.4989177489178, 591.2207792207791)
(443.73701298701303, 636.2424242424241)
(443.73701298701303, 679.5324675324674)
(442.0054112554112, 734.9437229437228)
(442.0054112554112, 795.5497835497835)
(372.741341991342, 840.5714285714284)
(400.44696969696975, 857.8874458874458)
(438.5422077922078, 859.6190476190475)
(473.1742424242425, 859.6190476190475)
(506.07467532467535, 854.4242424242424)
(213.43398268398266, 660.4848484848484)
(254.99242424242425, 639.7056277056276)
(331.1829004329004, 639.7056277056276)
(376.2045454545455, 660.4848484848484)
(338.1093073593074, 705.5064935064934)
(254.99242424242425, 705.5064935064934)
(521.659090909091, 657.021645021645)
(571.8755411255413, 636.2424242424241)
(629.0183982683984, 636.2424242424241)
(682.6980519480521, 660.4848484848484)
(642.8712121212122, 703.7748917748917)
(564.9491341991343, 708.9696969696969)
(320.7932900432901, 913.2987012987012)
(360.62012987012986, 899.4458874458874)
(402.17857142857144, 895.982683982684)
(440.27380952380963, 894.2510822510822)
(480.1006493506493, 897.7142857142856)
(519.9274891774892, 897.7142857142856)
(573.6071428571429, 915.030303030303)
(530.3170995670996, 979.099567099567)
(490.4902597402597, 999.8787878787878)
(443.73701298701303, 1008.5367965367964)
(391.788961038961, 996.4155844155844)
(350.23051948051955, 972.1731601731601)
(334.6461038961039, 921.9567099567098)
(367.54653679653677, 925.4199134199133)
(436.810606060606, 927.151515151515)
(504.34307359307354, 927.151515151515)
(559.7543290043291, 923.6883116883116)
(507.80627705627717, 949.6623376623376)
(442.0054112554112, 956.5887445887445)
(369.2781385281386, 942.7359307359307)
